tag_id,opc_id,tag_name,type
VTAG_AGENT_10000,AGENT_00001,HANSUNG.MM01.SENSOR01_TEMPERATURE_TARGET,Number
VTAG_AGENT_10001,AGENT_00001,HANSUNG.MM01.SENSOR01_TEMPERATURE_AMBIENT,Number
VTAG_AGENT_10002,AGENT_00001,HANSUNG.MM01.SENSOR01_PARTICLE_0.3,Number
VTAG_AGENT_10003,AGENT_00001,HANSUNG.MM01.SENSOR01_PARTICLE_0.3~0.5,Number
VTAG_AGENT_10004,AGENT_00001,HANSUNG.MM01.SENSOR01_PARTICLE_0.5~1.0,Number
VTAG_AGENT_10005,AGENT_00001,HANSUNG.MM01.SENSOR01_PARTICLE_1.0~2.5,Number
VTAG_AGENT_10006,AGENT_00001,HANSUNG.MM01.SENSOR01_PARTICLE_2.5~5.0,Number
VTAG_AGENT_10007,AGENT_00001,HANSUNG.MM01.SENSOR01_PARTICLE_5.0~10.0,Number
VTAG_AGENT_10008,AGENT_00001,HANSUNG.MM01.SENSOR01_GAS_CO2,Number
VTAG_AGENT_10009,AGENT_00001,HANSUNG.MM01.SENSOR01_GAS_TVOC,Number
VTAG_AGENT_10010,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_63,Number
VTAG_AGENT_10011,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_160,Number
VTAG_AGENT_10012,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_400,Number
VTAG_AGENT_10013,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_1K,Number
VTAG_AGENT_10014,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_2.5K,Number
VTAG_AGENT_10015,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_6.25K,Number
VTAG_AGENT_10016,AGENT_00001,HANSUNG.MM01.SENSOR01_SOUND_16K,Number
VTAG_AGENT_10017,AGENT_00001,HANSUNG.MM02.SENSOR02_TEMPERATURE_TARGET,Number
